"cc_iso3c","var","value","group","ord"
"IRL","rank_internal",16,3,27
"IRL","rank_sum",17,3,28
"IRL","sens_rank",0.588,4,29
"IRL","sens_rescale",0.631,4,30
"IRL","sens_std",0.623,4,31
"IRL","rank_rank",15,4,32
"IRL","rank_rescale",14,4,33
"IRL","rank_std",14,4,34
"IRL","sens_allin",0.562,5,35
"IRL","sens_midas",0.608,5,36
"IRL","sens_rf",0.601,5,37
"IRL","sens_mean",0.534,5,38
"IRL","rank_allin",17,5,39
"IRL","rank_midas",16,5,40
"IRL","rank_rf",16,5,41
"IRL","rank_mean",17,5,42
"ISL","incise_2019",0.228,0,1
"ISL","sens_55",0.233,1,2
"ISL","sens_60",NA,1,3
"ISL","sens_75",NA,1,4
"ISL","sens_2017",NA,1,5
"ISL","rank_2019",31,0,6
"ISL","rank_55",31,1,7
"ISL","rank_60",NA,1,8
"ISL","rank_75",NA,1,9
"ISL","rank_2017",NA,1,10
"ISL","sens_cap1",0.238,2,11
"ISL","sens_cap2",0.238,2,12
"ISL","sens_2015",0.233,2,13
"ISL","sens_2016",0.218,2,14
"ISL","rank_cap1",32,2,15
"ISL","rank_cap2",32,2,16
"ISL","rank_2015",31,2,17
"ISL","rank_2016",30,2,18
"ISL","sens_5050",0.223,3,19
"ISL","sens_equal",0.239,3,20
"ISL","sens_dqa",0.207,3,21
"ISL","sens_internal",0.218,3,22
"ISL","sens_sum",0.27,3,23
"ISL","rank_5050",31,3,24
"ISL","rank_equal",31,3,25
"ISL","rank_dqa",32,3,26
"ISL","rank_internal",31,3,27
"ISL","rank_sum",30,3,28
"ISL","sens_rank",0.23,4,29
"ISL","sens_rescale",0.254,4,30
"ISL","sens_std",0.263,4,31
"ISL","rank_rank",30,4,32
"ISL","rank_rescale",30,4,33
"ISL","rank_std",29,4,34
"ISL","sens_allin",0.207,5,35
"ISL","sens_midas",0.235,5,36
"ISL","sens_rf",0.297,5,37
"ISL","sens_mean",0.254,5,38
"ISL","rank_allin",31,5,39
"ISL","rank_midas",30,5,40
"ISL","rank_rf",28,5,41
"ISL","rank_mean",29,5,42
"ISR","incise_2019",0.315,0,1
"ISR","sens_55",0.322,1,2
"ISR","sens_60",NA,1,3
"ISR","sens_75",NA,1,4
"ISR","sens_2017",NA,1,5
"ISR","rank_2019",27,0,6
"ISR","rank_55",27,1,7
"ISR","rank_60",NA,1,8
"ISR","rank_75",NA,1,9
"ISR","rank_2017",NA,1,10
"ISR","sens_cap1",0.332,2,11
"ISR","sens_cap2",0.333,2,12
"ISR","sens_2015",0.326,2,13
"ISR","sens_2016",0.401,2,14
"ISR","rank_cap1",27,2,15
"ISR","rank_cap2",27,2,16
"ISR","rank_2015",27,2,17
"ISR","rank_2016",24,2,18
"ISR","sens_5050",0.309,3,19
"ISR","sens_equal",0.326,3,20
"ISR","sens_dqa",0.294,3,21
"ISR","sens_internal",0.314,3,22
"ISR","sens_sum",0.334,3,23
"ISR","rank_5050",27,3,24
"ISR","rank_equal",27,3,25
"ISR","rank_dqa",27,3,26
"ISR","rank_internal",27,3,27
"ISR","rank_sum",27,3,28
"ISR","sens_rank",0.322,4,29
"ISR","sens_rescale",0.324,4,30
"ISR","sens_std",0.327,4,31
"ISR","rank_rank",27,4,32
"ISR","rank_rescale",27,4,33
"ISR","rank_std",27,4,34
"ISR","sens_allin",0.246,5,35
"ISR","sens_midas",0.294,5,36
"ISR","sens_rf",0.322,5,37
"ISR","sens_mean",0.269,5,38
"ISR","rank_allin",29,5,39
"ISR","rank_midas",27,5,40
"ISR","rank_rf",27,5,41
"ISR","rank_mean",27,5,42
"ITA","incise_2019",0.419,0,1
"ITA","sens_55",0.431,1,2
"ITA","sens_60",0.428,1,3
"ITA","sens_75",0.424,1,4
"ITA","sens_2017",0.427,1,5
"ITA","rank_2019",25,0,6
"ITA","rank_55",25,1,7
"ITA","rank_60",24,1,8
"ITA","rank_75",22,1,9
"ITA","rank_2017",23,1,10
"ITA","sens_cap1",0.451,2,11
"ITA","sens_cap2",0.452,2,12
"ITA","sens_2015",0.442,2,13
"ITA","sens_2016",0.427,2,14
"ITA","rank_cap1",25,2,15
"ITA","rank_cap2",25,2,16
"ITA","rank_2015",25,2,17
"ITA","rank_2016",23,2,18
"ITA","sens_5050",0.419,3,19
"ITA","sens_equal",0.418,3,20
"ITA","sens_dqa",0.42,3,21
"ITA","sens_internal",0.436,3,22
"ITA","sens_sum",0.368,3,23
"ITA","rank_5050",25,3,24
"ITA","rank_equal",25,3,25
"ITA","rank_dqa",25,3,26
"ITA","rank_internal",25,3,27
"ITA","rank_sum",26,3,28
"ITA","sens_rank",0.402,4,29
"ITA","sens_rescale",0.415,4,30
"ITA","sens_std",0.412,4,31
"ITA","rank_rank",25,4,32
"ITA","rank_rescale",25,4,33
"ITA","rank_std",25,4,34
"ITA","sens_allin",0.426,5,35
"ITA","sens_midas",0.412,5,36
"ITA","sens_rf",0.405,5,37
"ITA","sens_mean",0.397,5,38
"ITA","rank_allin",23,5,39
"ITA","rank_midas",25,5,40
"ITA","rank_rf",25,5,41
"ITA","rank_mean",24,5,42
"JPN","incise_2019",0.472,0,1
"JPN","sens_55",0.485,1,2
"JPN","sens_60",0.481,1,3
"JPN","sens_75",0.488,1,4
"JPN","sens_2017",0.479,1,5
"JPN","rank_2019",22,0,6
"JPN","rank_55",21,1,7
"JPN","rank_60",20,1,8
"JPN","rank_75",17,1,9
"JPN","rank_2017",20,1,10
"JPN","sens_cap1",0.495,2,11
"JPN","sens_cap2",0.495,2,12
"JPN","sens_2015",0.482,2,13
"JPN","sens_2016",0.444,2,14
"JPN","rank_cap1",22,2,15
"JPN","rank_cap2",22,2,16
"JPN","rank_2015",22,2,17
"JPN","rank_2016",21,2,18
"JPN","sens_5050",0.471,3,19
"JPN","sens_equal",0.475,3,20
"JPN","sens_dqa",0.467,3,21
"JPN","sens_internal",0.438,3,22
"JPN","sens_sum",0.503,3,23
"JPN","rank_5050",22,3,24
"JPN","rank_equal",23,3,25
"JPN","rank_dqa",22,3,26
"JPN","rank_internal",24,3,27
"JPN","rank_sum",19,3,28
"JPN","sens_rank",0.521,4,29
"JPN","sens_rescale",0.478,4,30
"JPN","sens_std",0.484,4,31
"JPN","rank_rank",18,4,32
"JPN","rank_rescale",23,4,33
"JPN","rank_std",22,4,34
"JPN","sens_allin",0.421,5,35
"JPN","sens_midas",0.46,5,36
"JPN","sens_rf",0.452,5,37
"JPN","sens_mean",0.429,5,38
"JPN","rank_allin",24,5,39
"JPN","rank_midas",22,5,40
"JPN","rank_rf",23,5,41
"JPN","rank_mean",21,5,42
"KOR","incise_2019",0.785,0,1
"KOR","sens_55",0.781,1,2
"KOR","sens_60",0.779,1,3
"KOR","sens_75",0.777,1,4
"KOR","sens_2017",0.773,1,5
"KOR","rank_2019",9,0,6
"KOR","rank_55",9,1,7
"KOR","rank_60",9,1,8
"KOR","rank_75",8,1,9
"KOR","rank_2017",10,1,10
"KOR","sens_cap1",0.799,2,11
"KOR","sens_cap2",0.799,2,12
"KOR","sens_2015",0.784,2,13
"KOR","sens_2016",0.711,2,14
"KOR","rank_cap1",9,2,15
"KOR","rank_cap2",9,2,16
"KOR","rank_2015",10,2,17
"KOR","rank_2016",11,2,18
"KOR","sens_5050",0.786,3,19
"KOR","sens_equal",0.784,3,20
"KOR","sens_dqa",0.786,3,21
"KOR","sens_internal",0.809,3,22
"KOR","sens_sum",0.787,3,23
"KOR","rank_5050",9,3,24
"KOR","rank_equal",11,3,25
"KOR","rank_dqa",8,3,26
"KOR","rank_internal",6,3,27
"KOR","rank_sum",9,3,28
"KOR","sens_rank",0.818,4,29
"KOR","sens_rescale",0.767,4,30
"KOR","sens_std",0.77,4,31
"KOR","rank_rank",7,4,32
"KOR","rank_rescale",10,4,33
"KOR","rank_std",11,4,34
"KOR","sens_allin",0.738,5,35
"KOR","sens_midas",0.764,5,36
"KOR","sens_rf",0.755,5,37
"KOR","sens_mean",0.728,5,38
"KOR","rank_allin",10,5,39
"KOR","rank_midas",10,5,40
"KOR","rank_rf",10,5,41
"KOR","rank_mean",10,5,42
"LTU","incise_2019",0.487,0,1
"LTU","sens_55",0.49,1,2
"LTU","sens_60",0.483,1,3
"LTU","sens_75",0.484,1,4
"LTU","sens_2017",NA,1,5
"LTU","rank_2019",20,0,6
"LTU","rank_55",20,1,7
"LTU","rank_60",19,1,8
"LTU","rank_75",18,1,9
"LTU","rank_2017",NA,1,10
"LTU","sens_cap1",0.534,2,11
"LTU","sens_cap2",0.534,2,12
"LTU","sens_2015",0.518,2,13
"LTU","sens_2016",0.484,2,14
"LTU","rank_cap1",18,2,15
"LTU","rank_cap2",18,2,16
"LTU","rank_2015",20,2,17
"LTU","rank_2016",20,2,18
"LTU","sens_5050",0.489,3,19
"LTU","sens_equal",0.483,3,20
"LTU","sens_dqa",0.494,3,21
"LTU","sens_internal",0.482,3,22
"LTU","sens_sum",0.47,3,23
"LTU","rank_5050",20,3,24
"LTU","rank_equal",21,3,25
"LTU","rank_dqa",20,3,26
"LTU","rank_internal",20,3,27
"LTU","rank_sum",22,3,28
"LTU","sens_rank",0.495,4,29
"LTU","sens_rescale",0.49,4,30
"LTU","sens_std",0.497,4,31
"LTU","rank_rank",21,4,32
"LTU","rank_rescale",21,4,33
"LTU","rank_std",20,4,34
"LTU","sens_allin",0.431,5,35
"LTU","sens_midas",0.472,5,36
"LTU","sens_rf",0.474,5,37
"LTU","sens_mean",0.427,5,38
"LTU","rank_allin",22,5,39
"LTU","rank_midas",20,5,40
"LTU","rank_rf",21,5,41
"LTU","rank_mean",22,5,42
"LVA","incise_2019",0.466,0,1
"LVA","sens_55",0.471,1,2
"LVA","sens_60",0.463,1,3
"LVA","sens_75",0.462,1,4
"LVA","sens_2017",NA,1,5
"LVA","rank_2019",23,0,6
"LVA","rank_55",23,1,7
"LVA","rank_60",22,1,8
"LVA","rank_75",20,1,9
"LVA","rank_2017",NA,1,10
"LVA","sens_cap1",0.474,2,11
"LVA","sens_cap2",0.474,2,12
"LVA","sens_2015",0.454,2,13
"LVA","sens_2016",0.349,2,14
"LVA","rank_cap1",23,2,15
"LVA","rank_cap2",23,2,16
"LVA","rank_2015",24,2,17
"LVA","rank_2016",26,2,18
"LVA","sens_5050",0.46,3,19
"LVA","sens_equal",0.479,3,20
"LVA","sens_dqa",0.442,3,21
"LVA","sens_internal",0.447,3,22
"LVA","sens_sum",0.498,3,23
"LVA","rank_5050",23,3,24
"LVA","rank_equal",22,3,25
"LVA","rank_dqa",24,3,26
"LVA","rank_internal",23,3,27
"LVA","rank_sum",20,3,28
"LVA","sens_rank",0.432,4,29
"LVA","sens_rescale",0.461,4,30
"LVA","sens_std",0.453,4,31
"LVA","rank_rank",24,4,32
"LVA","rank_rescale",24,4,33
"LVA","rank_std",24,4,34
"LVA","sens_allin",0.367,5,35
"LVA","sens_midas",0.414,5,36
"LVA","sens_rf",0.423,5,37
"LVA","sens_mean",0.365,5,38
"LVA","rank_allin",26,5,39
"LVA","rank_midas",24,5,40
"LVA","rank_rf",24,5,41
"LVA","rank_mean",25,5,42
"MEX","incise_2019",0.507,0,1
"MEX","sens_55",0.5,1,2
"MEX","sens_60",0.504,1,3
"MEX","sens_75",NA,1,4
"MEX","sens_2017",0.505,1,5
"MEX","rank_2019",18,0,6
"MEX","rank_55",19,1,7
"MEX","rank_60",17,1,8
"MEX","rank_75",NA,1,9
"MEX","rank_2017",18,1,10
"MEX","sens_cap1",0.519,2,11
"MEX","sens_cap2",0.519,2,12
"MEX","sens_2015",0.519,2,13
"MEX","sens_2016",0.523,2,14
"MEX","rank_cap1",20,2,15
"MEX","rank_cap2",20,2,16
"MEX","rank_2015",19,2,17
"MEX","rank_2016",19,2,18
"MEX","sens_5050",0.511,3,19
"MEX","sens_equal",0.497,3,20
"MEX","sens_dqa",0.524,3,21
"MEX","sens_internal",0.497,3,22
"MEX","sens_sum",0.412,3,23
"MEX","rank_5050",18,3,24
"MEX","rank_equal",19,3,25
"MEX","rank_dqa",18,3,26
"MEX","rank_internal",19,3,27
"MEX","rank_sum",24,3,28
"MEX","sens_rank",0.461,4,29
"MEX","sens_rescale",0.517,4,30
"MEX","sens_std",0.522,4,31
"MEX","rank_rank",23,4,32
"MEX","rank_rescale",18,4,33
"MEX","rank_std",18,4,34
"MEX","sens_allin",0.46,5,35
"MEX","sens_midas",0.498,5,36
"MEX","sens_rf",0.485,5,37
"MEX","sens_mean",0.482,5,38
"MEX","rank_allin",20,5,39
"MEX","rank_midas",18,5,40
"MEX","rank_rf",19,5,41
"MEX","rank_mean",19,5,42
"NLD","incise_2019",0.794,0,1
"NLD","sens_55",0.792,1,2
"NLD","sens_60",0.79,1,3
"NLD","sens_75",0.79,1,4
"NLD","sens_2017",0.786,1,5
"NLD","rank_2019",8,0,6
"NLD","rank_55",8,1,7
"NLD","rank_60",8,1,8
"NLD","rank_75",7,1,9
"NLD","rank_2017",8,1,10
"NLD","sens_cap1",0.802,2,11
"NLD","sens_cap2",0.802,2,12
"NLD","sens_2015",0.79,2,13
"NLD","sens_2016",0.758,2,14
"NLD","rank_cap1",8,2,15
"NLD","rank_cap2",8,2,16
"NLD","rank_2015",8,2,17
"NLD","rank_2016",9,2,18
"NLD","sens_5050",0.787,3,19
"NLD","sens_equal",0.809,3,20
"NLD","sens_dqa",0.765,3,21
"NLD","sens_internal",0.745,3,22
"NLD","sens_sum",0.783,3,23
"NLD","rank_5050",8,3,24
"NLD","rank_equal",8,3,25
"NLD","rank_dqa",10,3,26
"NLD","rank_internal",10,3,27
"NLD","rank_sum",10,3,28
"NLD","sens_rank",0.815,4,29
"NLD","sens_rescale",0.794,4,30
"NLD","sens_std",0.783,4,31
"NLD","rank_rank",8,4,32
"NLD","rank_rescale",8,4,33
"NLD","rank_std",9,4,34
"NLD","sens_allin",0.791,5,35
"NLD","sens_midas",0.794,5,36
"NLD","sens_rf",0.766,5,37
"NLD","sens_mean",0.762,5,38
"NLD","rank_allin",9,5,39
"NLD","rank_midas",8,5,40
"NLD","rank_rf",9,5,41
"NLD","rank_mean",9,5,42
"NOR","incise_2019",0.83,0,1
"NOR","sens_55",0.832,1,2
"NOR","sens_60",0.83,1,3
"NOR","sens_75",0.831,1,4
"NOR","sens_2017",0.828,1,5
"NOR","rank_2019",7,0,6
"NOR","rank_55",7,1,7
"NOR","rank_60",7,1,8
"NOR","rank_75",6,1,9
"NOR","rank_2017",7,1,10
"NOR","sens_cap1",0.836,2,11
"NOR","sens_cap2",0.836,2,12
"NOR","sens_2015",0.843,2,13
"NOR","sens_2016",0.791,2,14
"NOR","rank_cap1",6,2,15
"NOR","rank_cap2",6,2,16
"NOR","rank_2015",6,2,17
"NOR","rank_2016",6,2,18
"NOR","sens_5050",0.825,3,19
"NOR","sens_equal",0.839,3,20
"NOR","sens_dqa",0.812,3,21
"NOR","sens_internal",0.805,3,22
"NOR","sens_sum",0.851,3,23
"NOR","rank_5050",6,3,24
"NOR","rank_equal",7,3,25
"NOR","rank_dqa",6,3,26
"NOR","rank_internal",7,3,27
"NOR","rank_sum",7,3,28
"NOR","sens_rank",0.789,4,29
"NOR","sens_rescale",0.83,4,30
"NOR","sens_std",0.829,4,31
"NOR","rank_rank",10,4,32
"NOR","rank_rescale",6,4,33
"NOR","rank_std",6,4,34
"NOR","sens_allin",0.834,5,35
"NOR","sens_midas",0.831,5,36
"NOR","sens_rf",0.831,5,37
"NOR","sens_mean",0.824,5,38
"NOR","rank_allin",6,5,39
"NOR","rank_midas",6,5,40
"NOR","rank_rf",7,5,41
"NOR","rank_mean",5,5,42
"NZL","incise_2019",0.98,0,1
"NZL","sens_55",0.987,1,2
"NZL","sens_60",0.987,1,3
"NZL","sens_75",0.992,1,4
"NZL","sens_2017",0.985,1,5
"NZL","rank_2019",2,0,6
"NZL","rank_55",2,1,7
"NZL","rank_60",2,1,8
"NZL","rank_75",2,1,9
"NZL","rank_2017",2,1,10
"NZL","sens_cap1",0.955,2,11
"NZL","sens_cap2",0.955,2,12
"NZL","sens_2015",0.949,2,13
"NZL","sens_2016",0.912,2,14
"NZL","rank_cap1",2,2,15
"NZL","rank_cap2",2,2,16
"NZL","rank_2015",2,2,17
"NZL","rank_2016",2,2,18
"NZL","sens_5050",0.97,3,19
"NZL","sens_equal",1,3,20
"NZL","sens_dqa",0.941,3,21
"NZL","sens_internal",0.941,3,22
"NZL","sens_sum",1,3,23
"NZL","rank_5050",2,3,24
"NZL","rank_equal",1,3,25
"NZL","rank_dqa",2,3,26
"NZL","rank_internal",2,3,27
"NZL","rank_sum",1,3,28
"NZL","sens_rank",0.951,4,29
"NZL","sens_rescale",0.978,4,30
"NZL","sens_std",0.979,4,31
"NZL","rank_rank",2,4,32
"NZL","rank_rescale",2,4,33
"NZL","rank_std",2,4,34
"NZL","sens_allin",1,5,35
"NZL","sens_midas",0.975,5,36
"NZL","sens_rf",0.981,5,37
"NZL","sens_mean",0.966,5,38
"NZL","rank_allin",1,5,39
"NZL","rank_midas",2,5,40
"NZL","rank_rf",2,5,41
"NZL","rank_mean",2,5,42
"POL","incise_2019",0.282,0,1
"POL","sens_55",0.277,1,2
"POL","sens_60",0.274,1,3
"POL","sens_75",0.281,1,4
"POL","sens_2017",0.274,1,5
"POL","rank_2019",28,0,6
"POL","rank_55",28,1,7
"POL","rank_60",26,1,8
"POL","rank_75",24,1,9
"POL","rank_2017",25,1,10
"POL","sens_cap1",0.268,2,11
"POL","sens_cap2",0.269,2,12
"POL","sens_2015",0.237,2,13
"POL","sens_2016",0.083,2,14
"POL","rank_cap1",28,2,15
"POL","rank_cap2",28,2,16
"POL","rank_2015",30,2,17
"POL","rank_2016",36,2,18
"POL","sens_5050",0.276,3,19
"POL","sens_equal",0.293,3,20
"POL","sens_dqa",0.261,3,21
"POL","sens_internal",0.236,3,22
"POL","sens_sum",0.291,3,23
"POL","rank_5050",28,3,24
"POL","rank_equal",28,3,25
"POL","rank_dqa",28,3,26
"POL","rank_internal",29,3,27
"POL","rank_sum",28,3,28
"POL","sens_rank",0.242,4,29
"POL","sens_rescale",0.276,4,30
"POL","sens_std",0.273,4,31
"POL","rank_rank",29,4,32
"POL","rank_rescale",28,4,33
"POL","rank_std",28,4,34
"POL","sens_allin",0.302,5,35
"POL","sens_midas",0.277,5,36
"POL","sens_rf",0.262,5,37
"POL","sens_mean",0.26,5,38
"POL","rank_allin",27,5,39
"POL","rank_midas",28,5,40
"POL","rank_rf",29,5,41
"POL","rank_mean",28,5,42
"PRT","incise_2019",0.259,0,1
"PRT","sens_55",0.26,1,2
"PRT","sens_60",0.26,1,3
"PRT","sens_75",0.259,1,4
"PRT","sens_2017",0.258,1,5
"PRT","rank_2019",29,0,6
"PRT","rank_55",29,1,7
"PRT","rank_60",27,1,8
"PRT","rank_75",25,1,9
"PRT","rank_2017",27,1,10
"PRT","sens_cap1",0.256,2,11
"PRT","sens_cap2",0.256,2,12
"PRT","sens_2015",0.238,2,13
"PRT","sens_2016",0.22,2,14
"PRT","rank_cap1",30,2,15
"PRT","rank_cap2",30,2,16
"PRT","rank_2015",29,2,17
"PRT","rank_2016",29,2,18
"PRT","sens_5050",0.253,3,19
"PRT","sens_equal",0.273,3,20
"PRT","sens_dqa",0.235,3,21
"PRT","sens_internal",0.241,3,22
"PRT","sens_sum",0.289,3,23
"PRT","rank_5050",29,3,24
"PRT","rank_equal",29,3,25
"PRT","rank_dqa",29,3,26
"PRT","rank_internal",28,3,27
"PRT","rank_sum",29,3,28
"PRT","sens_rank",0.223,4,29
"PRT","sens_rescale",0.252,4,30
"PRT","sens_std",0.238,4,31
"PRT","rank_rank",31,4,32
"PRT","rank_rescale",31,4,33
"PRT","rank_std",31,4,34
"PRT","sens_allin",0.294,5,35
"PRT","sens_midas",0.266,5,36
"PRT","sens_rf",0.241,5,37
"PRT","sens_mean",0.252,5,38
"PRT","rank_allin",28,5,39
"PRT","rank_midas",29,5,40
"PRT","rank_rf",31,5,41
"PRT","rank_mean",30,5,42
"ROU","incise_2019",0.127,0,1
"ROU","sens_55",NA,1,2
"ROU","sens_60",NA,1,3
"ROU","sens_75",NA,1,4
"ROU","sens_2017",NA,1,5
"ROU","rank_2019",36,0,6
"ROU","rank_55",NA,1,7
"ROU","rank_60",NA,1,8
"ROU","rank_75",NA,1,9
"ROU","rank_2017",NA,1,10
"ROU","sens_cap1",0.128,2,11
"ROU","sens_cap2",0.128,2,12
"ROU","sens_2015",0.105,2,13
"ROU","sens_2016",0.104,2,14
"ROU","rank_cap1",37,2,15
"ROU","rank_cap2",37,2,16
"ROU","rank_2015",37,2,17
"ROU","rank_2016",35,2,18
"ROU","sens_5050",0.131,3,19
"ROU","sens_equal",0.12,3,20
"ROU","sens_dqa",0.14,3,21
"ROU","sens_internal",0.07,3,22
"ROU","sens_sum",0.05,3,23
"ROU","rank_5050",36,3,24
"ROU","rank_equal",36,3,25
"ROU","rank_dqa",36,3,26
"ROU","rank_internal",37,3,27
"ROU","rank_sum",36,3,28
"ROU","sens_rank",0.107,4,29
"ROU","sens_rescale",0.102,4,30
"ROU","sens_std",0.09,4,31
"ROU","rank_rank",36,4,32
"ROU","rank_rescale",36,4,33
"ROU","rank_std",36,4,34
"ROU","sens_allin",0.095,5,35
"ROU","sens_midas",0.128,5,36
"ROU","sens_rf",0.101,5,37
"ROU","sens_mean",0.121,5,38
"ROU","rank_allin",37,5,39
"ROU","rank_midas",36,5,40
"ROU","rank_rf",35,5,41
"ROU","rank_mean",36,5,42
"SVK","incise_2019",0.172,0,1
"SVK","sens_55",0.178,1,2
"SVK","sens_60",0.175,1,3
"SVK","sens_75",0.171,1,4
"SVK","sens_2017",0.175,1,5
"SVK","rank_2019",33,0,6
"SVK","rank_55",33,1,7
"SVK","rank_60",30,1,8
"SVK","rank_75",28,1,9
"SVK","rank_2017",29,1,10
"SVK","sens_cap1",0.156,2,11
"SVK","sens_cap2",0.156,2,12
"SVK","sens_2015",0.159,2,13
"SVK","sens_2016",0.15,2,14
"SVK","rank_cap1",34,2,15
"SVK","rank_cap2",34,2,16
"SVK","rank_2015",33,2,17
"SVK","rank_2016",31,2,18
"SVK","sens_5050",0.17,3,19
"SVK","sens_equal",0.175,3,20
"SVK","sens_dqa",0.166,3,21
"SVK","sens_internal",0.107,3,22
"SVK","sens_sum",0.143,3,23
"SVK","rank_5050",33,3,24
"SVK","rank_equal",33,3,25
"SVK","rank_dqa",33,3,26
"SVK","rank_internal",35,3,27
"SVK","rank_sum",32,3,28
"SVK","sens_rank",0.17,4,29
"SVK","sens_rescale",0.177,4,30
"SVK","sens_std",0.162,4,31
"SVK","rank_rank",33,4,32
"SVK","rank_rescale",33,4,33
"SVK","rank_std",33,4,34
"SVK","sens_allin",0.203,5,35
"SVK","sens_midas",0.17,5,36
"SVK","sens_rf",0.153,5,37
"SVK","sens_mean",0.132,5,38
"SVK","rank_allin",32,5,39
"SVK","rank_midas",33,5,40
"SVK","rank_rf",33,5,41
"SVK","rank_mean",34,5,42
"SVN","incise_2019",0.369,0,1
"SVN","sens_55",0.359,1,2
"SVN","sens_60",0.358,1,3
"SVN","sens_75",0.36,1,4
"SVN","sens_2017",0.359,1,5
"SVN","rank_2019",26,0,6
"SVN","rank_55",26,1,7
"SVN","rank_60",25,1,8
"SVN","rank_75",23,1,9
"SVN","rank_2017",24,1,10
"SVN","sens_cap1",0.363,2,11
"SVN","sens_cap2",0.363,2,12
"SVN","sens_2015",0.351,2,13
"SVN","sens_2016",0.271,2,14
"SVN","rank_cap1",26,2,15
"SVN","rank_cap2",26,2,16
"SVN","rank_2015",26,2,17
"SVN","rank_2016",28,2,18
"SVN","sens_5050",0.36,3,19
"SVN","sens_equal",0.388,3,20
"SVN","sens_dqa",0.333,3,21
"SVN","sens_internal",0.338,3,22
"SVN","sens_sum",0.394,3,23
"SVN","rank_5050",26,3,24
"SVN","rank_equal",26,3,25
"SVN","rank_dqa",26,3,26
"SVN","rank_internal",26,3,27
"SVN","rank_sum",25,3,28
"SVN","sens_rank",0.386,4,29
"SVN","sens_rescale",0.366,4,30
"SVN","sens_std",0.361,4,31
"SVN","rank_rank",26,4,32
"SVN","rank_rescale",26,4,33
"SVN","rank_std",26,4,34
"SVN","sens_allin",0.395,5,35
"SVN","sens_midas",0.368,5,36
"SVN","sens_rf",0.363,5,37
"SVN","sens_mean",0.358,5,38
"SVN","rank_allin",25,5,39
"SVN","rank_midas",26,5,40
"SVN","rank_rf",26,5,41
"SVN","rank_mean",26,5,42
"SWE","incise_2019",0.785,0,1
"SWE","sens_55",0.773,1,2
"SWE","sens_60",0.775,1,3
"SWE","sens_75",0.775,1,4
"SWE","sens_2017",0.775,1,5
"SWE","rank_2019",10,0,6
"SWE","rank_55",10,1,7
"SWE","rank_60",10,1,8
"SWE","rank_75",9,1,9
"SWE","rank_2017",9,1,10
"SWE","sens_cap1",0.791,2,11
"SWE","sens_cap2",0.791,2,12
"SWE","sens_2015",0.802,2,13
"SWE","sens_2016",0.787,2,14
"SWE","rank_cap1",10,2,15
"SWE","rank_cap2",10,2,16
"SWE","rank_2015",7,2,17
"SWE","rank_2016",7,2,18
"SWE","sens_5050",0.782,3,19
"SWE","sens_equal",0.79,3,20
"SWE","sens_dqa",0.775,3,21
"SWE","sens_internal",0.763,3,22
"SWE","sens_sum",0.805,3,23
"SWE","rank_5050",10,3,24
"SWE","rank_equal",9,3,25
"SWE","rank_dqa",9,3,26
"SWE","rank_internal",9,3,27
"SWE","rank_sum",8,3,28
"SWE","sens_rank",0.802,4,29
"SWE","sens_rescale",0.785,4,30
"SWE","sens_std",0.784,4,31
"SWE","rank_rank",9,4,32
"SWE","rank_rescale",9,4,33
"SWE","rank_std",8,4,34
"SWE","sens_allin",0.799,5,35
"SWE","sens_midas",0.792,5,36
"SWE","sens_rf",0.785,5,37
"SWE","sens_mean",0.788,5,38
"SWE","rank_allin",8,5,39
"SWE","rank_midas",9,5,40
"SWE","rank_rf",8,5,41
"SWE","rank_mean",8,5,42
"TUR","incise_2019",0.189,0,1
"TUR","sens_55",0.181,1,2
"TUR","sens_60",0.184,1,3
"TUR","sens_75",0.176,1,4
"TUR","sens_2017",0.182,1,5
"TUR","rank_2019",32,0,6
"TUR","rank_55",32,1,7
"TUR","rank_60",29,1,8
"TUR","rank_75",27,1,9
"TUR","rank_2017",28,1,10
"TUR","sens_cap1",0.261,2,11
"TUR","sens_cap2",0.262,2,12
"TUR","sens_2015",0.244,2,13
"TUR","sens_2016",0.141,2,14
"TUR","rank_cap1",29,2,15
"TUR","rank_cap2",29,2,16
"TUR","rank_2015",28,2,17
"TUR","rank_2016",32,2,18
"TUR","sens_5050",0.194,3,19
"TUR","sens_equal",0.177,3,20
"TUR","sens_dqa",0.209,3,21
"TUR","sens_internal",0.231,3,22
"TUR","sens_sum",0.063,3,23
"TUR","rank_5050",32,3,24
"TUR","rank_equal",32,3,25
"TUR","rank_dqa",31,3,26
"TUR","rank_internal",30,3,27
"TUR","rank_sum",35,3,28
"TUR","sens_rank",0.185,4,29
"TUR","sens_rescale",0.179,4,30
"TUR","sens_std",0.19,4,31
"TUR","rank_rank",32,4,32
"TUR","rank_rescale",32,4,33
"TUR","rank_std",32,4,34
"TUR","sens_allin",0.184,5,35
"TUR","sens_midas",0.195,5,36
"TUR","sens_rf",0.197,5,37
"TUR","sens_mean",0.18,5,38
"TUR","rank_allin",33,5,39
"TUR","rank_midas",32,5,40
"TUR","rank_rf",32,5,41
"TUR","rank_mean",32,5,42
"USA","incise_2019",0.765,0,1
"USA","sens_55",0.759,1,2
"USA","sens_60",NA,1,3
"USA","sens_75",NA,1,4
"USA","sens_2017",0.758,1,5
"USA","rank_2019",11,0,6
"USA","rank_55",11,1,7
"USA","rank_60",NA,1,8
